Lat.,Lon.,Layer,Time,WA_U,WA_D,WA_R,RUD
35.286937,139.712072,1,0,17.99,9.1,35.54,0.19
35.286937,139.716577,1,0,17.9,8.89,35.1,0.19
35.286937,139.721081,1,0,17.81,8.64,34.56,0.19
35.286937,139.725586,1,0,17.74,8.42,34.01,0.19
35.286937,139.73009,1,0,17.57,8.49,33.55,0.19
35.286937,139.734595,1,0,17.51,8.44,32.99,0.19
35.286937,139.739099,1,0,17.46,8.61,32.54,0.19
35.286937,139.743604,1,0,17.45,9.05,32.21,0.19
35.286937,139.748108,1,0,17.6,9.47,31.85,0.19
35.286937,139.752613,1,0,17.79,9.89,31.52,0.19
35.286937,139.757117,1,0,17.96,10.15,31.15,0.19
35.286937,139.761622,1,0,18.17,10.46,30.83,0.2
35.286937,139.766126,1,0,18.31,10.43,30.36,0.2
35.291441,139.649009,1,0,16.33,30.94,28.88,-0.0
35.291441,139.653514,1,0,16.51,31.61,30.76,0.01
35.291441,139.658018,1,0,17.43,23.37,32.49,0.07
35.291441,139.662523,1,0,18.49,15.46,34.38,0.14
35.291441,139.680541,1,0,19.4,11.64,38.11,0.18
35.291441,139.68955,1,0,18.59,10.37,37.27,0.18
35.291441,139.694054,1,0,18.3,10.13,37.02,0.18
35.291441,139.698559,1,0,18.19,9.8,36.68,0.18
35.291441,139.703063,1,0,18.06,9.55,36.3,0.19
35.291441,139.707568,1,0,18.01,9.26,35.86,0.19
35.291441,139.712072,1,0,17.95,8.97,35.35,0.19
35.291441,139.716577,1,0,17.83,8.77,34.84,0.19
35.291441,139.721081,1,0,17.75,8.53,34.27,0.19
35.291441,139.725586,1,0,17.65,8.45,33.75,0.19
35.291441,139.73009,1,0,17.56,8.46,33.22,0.19
35.291441,139.734595,1,0,17.54,8.32,32.58,0.19
35.291441,139.739099,1,0,17.49,8.54,32.14,0.19
35.291441,139.743604,1,0,17.51,8.91,31.77,0.19
35.291441,139.748108,1,0,17.68,9.22,31.35,0.2
35.291441,139.752613,1,0,17.81,9.49,30.95,0.2
35.291441,139.757117,1,0,17.99,9.78,30.58,0.2
35.291441,139.761622,1,0,18.19,9.94,30.18,0.2
35.291441,139.766126,1,0,18.36,9.84,29.7,0.21
35.295946,139.64,1,0,14.83,8.57,21.65,0.14
35.295946,139.653514,1,0,16.11,8.25,32.42,0.16
35.295946,139.658018,1,0,17.49,7.6,33.49,0.18
35.295946,139.662523,1,0,18.74,8.1,34.97,0.2
35.295946,139.680541,1,0,18.97,11.42,38.06,0.18
35.295946,139.685045,1,0,18.63,10.82,37.68,0.18
35.295946,139.68955,1,0,18.4,10.43,37.36,0.18
35.295946,139.694054,1,0,18.2,10.1,37.06,0.18
35.295946,139.698559,1,0,18.06,9.81,36.68,0.18
35.295946,139.703063,1,0,17.96,9.53,36.26,0.18
35.295946,139.707568,1,0,17.96,9.16,35.74,0.19
35.295946,139.712072,1,0,17.82,8.99,35.23,0.19
35.295946,139.716577,1,0,17.71,8.8,34.67,0.19
35.295946,139.721081,1,0,17.67,8.53,34.04,0.19
35.295946,139.725586,1,0,17.55,8.52,33.54,0.19
35.295946,139.73009,1,0,17.47,8.5,32.97,0.19
35.295946,139.734595,1,0,17.46,8.39,32.32,0.19
35.295946,139.739099,1,0,17.43,8.48,31.77,0.19
35.295946,139.743604,1,0,17.51,8.79,31.36,0.19
35.295946,139.748108,1,0,17.62,9.08,30.94,0.2
35.295946,139.752613,1,0,17.77,9.33,30.5,0.2
35.295946,139.757117,1,0,17.97,9.58,30.11,0.2
35.295946,139.761622,1,0,18.17,9.51,29.59,0.21
35.295946,139.766126,1,0,18.34,9.48,29.19,0.21
35.295946,139.770631,1,0,18.47,9.33,28.75,0.22
35.30045,139.635495,1,0,12.89,4.36,14.38,0.15
35.30045,139.64,1,0,12.87,6.5,23.42,0.13
35.30045,139.658018,1,0,17.56,6.93,34.11,0.19
35.30045,139.676036,1,0,18.51,11.17,37.87,0.18
35.30045,139.680541,1,0,18.44,11.17,37.91,0.18
35.30045,139.685045,1,0,18.23,10.77,37.66,0.18
35.30045,139.68955,1,0,18.15,10.45,37.4,0.18
35.30045,139.694054,1,0,18.05,10.12,37.09,0.18
35.30045,139.698559,1,0,17.96,9.8,36.67,0.18
35.30045,139.703063,1,0,17.88,9.49,36.21,0.18
35.30045,139.707568,1,0,17.82,9.19,35.66,0.19
35.30045,139.712072,1,0,17.68,8.98,35.12,0.19
35.30045,139.716577,1,0,17.61,8.82,34.54,0.19
35.30045,139.721081,1,0,17.54,8.62,33.91,0.19
35.30045,139.725586,1,0,17.4,8.63,33.36,0.19
35.30045,139.73009,1,0,17.36,8.64,32.78,0.19
35.30045,139.734595,1,0,17.33,8.6,32.17,0.19
35.30045,139.739099,1,0,17.33,8.76,31.68,0.19
35.30045,139.743604,1,0,17.42,8.93,31.17,0.19
35.30045,139.748108,1,0,17.51,9.17,30.72,0.19
35.30045,139.752613,1,0,17.67,9.42,30.27,0.19
35.30045,139.757117,1,0,17.86,9.43,29.76,0.2
35.30045,139.761622,1,0,18.07,9.39,29.26,0.2
35.30045,139.766126,1,0,18.25,9.2,28.76,0.21
35.30045,139.770631,1,0,18.42,9.01,28.29,0.22
35.30045,139.775135,1,0,18.49,8.78,27.82,0.22
35.304955,139.644505,1,0,13.23,3.93,30.64,0.15
35.304955,139.649009,1,0,14.76,4.86,32.08,0.16
35.304955,139.658018,1,0,17.67,8.0,35.28,0.18
35.304955,139.662523,1,0,17.97,8.71,35.92,0.18
35.304955,139.667027,1,0,17.9,9.45,36.55,0.18
35.304955,139.671532,1,0,17.72,10.22,37.19,0.17
35.304955,139.676036,1,0,17.86,10.62,37.52,0.17
35.304955,139.680541,1,0,17.9,10.75,37.67,0.17
35.304955,139.685045,1,0,18.0,10.65,37.63,0.18
35.304955,139.68955,1,0,17.93,10.39,37.39,0.18
35.304955,139.694054,1,0,17.94,10.07,37.06,0.18
35.304955,139.698559,1,0,17.85,9.76,36.64,0.18
35.304955,139.703063,1,0,17.77,9.53,36.17,0.18
35.304955,139.707568,1,0,17.67,9.28,35.63,0.18
35.304955,139.712072,1,0,17.58,9.07,35.07,0.19
35.304955,139.716577,1,0,17.47,8.97,34.49,0.19
35.304955,139.721081,1,0,17.35,8.86,33.88,0.19
35.304955,139.725586,1,0,17.26,8.91,33.33,0.18
35.304955,139.73009,1,0,17.21,8.95,32.76,0.18
35.304955,139.734595,1,0,17.19,8.93,32.14,0.19
35.304955,139.739099,1,0,17.19,9.07,31.63,0.19
35.304955,139.743604,1,0,17.25,9.26,31.15,0.19
35.304955,139.748108,1,0,17.34,9.43,30.65,0.19
35.304955,139.752613,1,0,17.51,9.52,30.14,0.19
35.304955,139.757117,1,0,17.69,9.51,29.58,0.2
35.304955,139.761622,1,0,17.89,9.3,28.99,0.2
35.304955,139.766126,1,0,18.09,9.05,28.43,0.21
35.304955,139.770631,1,0,18.26,8.65,27.81,0.22
35.304955,139.775135,1,0,18.35,8.51,27.39,0.22
35.309459,139.649009,1,0,15.46,6.07,33.35,0.16
35.309459,139.653514,1,0,16.76,7.62,34.89,0.17
35.309459,139.658018,1,0,17.45,8.88,36.05,0.18
35.309459,139.662523,1,0,17.6,9.57,36.65,0.17
